x_id,earthquake_id,provider,title,mag,depth,geojson,location_properties,rev,date_time,created_at,location_tz
65f970bc86e26cb6ccc54f32,VvUr1xQPYFL2J,kandilli,AKBAYIR-ELBISTAN (KAHRAMANMARAS),2.0,10.3,,,,2024-03-19 04:15:13,1710818113,Europe/Istanbul
65f970bc86e26cb6ccc54f33,qswMJXTi6pGYW,kandilli,DURASIL-AKHISAR (MANISA),1.8,7.7,,,,2024-03-19 04:03:12,1710817392,Europe/Istanbul
65f970bc86e26cb6ccc54f34,HheAmlodqm2Jq,kandilli,DURASIL-AKHISAR (MANISA),2.7,7.5,,,,2024-03-19 03:51:32,1710816692,Europe/Istanbul
65f970bc86e26cb6ccc54f35,ZTfYhQnzGYmpD,kandilli,KOZLU-(BOLU),1.7,4.2,,,,2024-03-19 03:36:54,1710815814,Europe/Istanbul
65f970bc86e26cb6ccc54f36,OaXmfj4x9gv6n,kandilli,AVCILAR ACIKLARI-ISTANBUL (MARMARA DENIZI),1.4,12.2,,,,2024-03-19 03:34:14,1710815654,Europe/Istanbul
65f970bc86e26cb6ccc54f37,yVF0ouspwnqJ3,kandilli,YALINTAS-ELBISTAN (KAHRAMANMARAS),1.7,7.9,,,,2024-03-19 02:15:27,1710810927,Europe/Istanbul
65f970bc86e26cb6ccc54f38,8oneFgIIZYS_L,kandilli,YEDIOLUK-SARIZ (KAYSERI),1.4,13.1,,,,2024-03-19 01:56:48,1710809808,Europe/Istanbul
65f970bc86e26cb6ccc54f39,gl0Kim7TsHNqH,kandilli,FINDIKLIKOYAK-GOKSUN (KAHRAMANMARAS),1.2,10.7,,,,2024-03-19 01:47:10,1710809230,Europe/Istanbul
65f970bc86e26cb6ccc54f3a,UNa9bpTIoHftu,kandilli,BASMEZRA-PUTURGE (MALATYA),1.3,4.2,,,,2024-03-19 00:25:03,1710804303,Europe/Istanbul
65f970bc86e26cb6ccc54f3b,gCTUOEfdRRlkM,kandilli,CUMAALANI-CAMELI (DENIZLI),1.3,2.0,,,,2024-03-18 23:47:24,1710802044,Europe/Istanbul
65f970bc86e26cb6ccc54f3c,txZq31Z1rtz8r,kandilli,GEMLIK KORFEZI (MARMARA DENIZI),1.5,5.4,,,,2024-03-18 22:44:45,1710798285,Europe/Istanbul
65f970bc86e26cb6ccc54f3d,ckmkCWKS7wcZI,kandilli,KUMYAKA-MUDANYA (BURSA),2.3,10.2,,,,2024-03-18 22:27:19,1710797239,Europe/Istanbul
65f970bc86e26cb6ccc54f3e,b8ZQdFDcE_sV7,kandilli,SALKONAK-YESILYURT (MALATYA),1.4,7.4,,,,2024-03-18 22:20:34,1710796834,Europe/Istanbul
65f970bc86e26cb6ccc54f3f,NCEUO1lohmJmK,kandilli,ALTINHUSEYIN-PULUMUR (TUNCELI),2.1,9.9,,,,2024-03-18 22:14:18,1710796458,Europe/Istanbul
